[11/05 23:56:25] d2.utils.events INFO:  eta: 7:44:23  iter: 1179  total_loss: 0.458  loss_cls: 0.135  loss_box_reg: 0.317  loss_rpn_cls: 0.011  loss_rpn_loc: 0.007  time: 2.0109  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/05 23:57:04] d2.utils.events INFO:  eta: 7:43:23  iter: 1199  total_loss: 0.507  loss_cls: 0.145  loss_box_reg: 0.363  loss_rpn_cls: 0.009  loss_rpn_loc: 0.008  time: 2.0102  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/05 23:57:46] d2.utils.events INFO:  eta: 7:43:13  iter: 1219  total_loss: 0.571  loss_cls: 0.140  loss_box_reg: 0.415  loss_rpn_cls: 0.012  loss_rpn_loc: 0.013  time: 2.0112  data_time: 0.0031  lr: 0.002500  max_mem: 4622M
[11/05 23:58:25] d2.utils.events INFO:  eta: 7:42:22  iter: 1239  total_loss: 0.469  loss_cls: 0.123  loss_box_reg: 0.318  loss_rpn_cls: 0.010  loss_rpn_loc: 0.008  time: 2.0109  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/05 23:59:06] d2.utils.events INFO:  eta: 7:41:52  iter: 1259  total_loss: 0.466  loss_cls: 0.112  loss_box_reg: 0.339  loss_rpn_cls: 0.010  loss_rpn_loc: 0.008  time: 2.0111  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/05 23:59:46] d2.utils.events INFO:  eta: 7:41:07  iter: 1279  total_loss: 0.681  loss_cls: 0.147  loss_box_reg: 0.376  loss_rpn_cls: 0.015  loss_rpn_loc: 0.013  time: 2.0109  data_time: 0.0031  lr: 0.002500  max_mem: 4622M
[11/06 00:00:26] d2.utils.events INFO:  eta: 7:40:36  iter: 1299  total_loss: 0.487  loss_cls: 0.105  loss_box_reg: 0.304  loss_rpn_cls: 0.013  loss_rpn_loc: 0.009  time: 2.0110  data_time: 0.0031  lr: 0.002500  max_mem: 4622M
[11/06 00:01:07] d2.utils.events INFO:  eta: 7:39:41  iter: 1319  total_loss: 0.625  loss_cls: 0.173  loss_box_reg: 0.424  loss_rpn_cls: 0.021  loss_rpn_loc: 0.010  time: 2.0113  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:01:46] d2.utils.events INFO:  eta: 7:38:34  iter: 1339  total_loss: 0.406  loss_cls: 0.105  loss_box_reg: 0.271  loss_rpn_cls: 0.010  loss_rpn_loc: 0.006  time: 2.0107  data_time: 0.0031  lr: 0.002500  max_mem: 4622M
[11/06 00:02:26] d2.utils.events INFO:  eta: 7:38:18  iter: 1359  total_loss: 0.543  loss_cls: 0.145  loss_box_reg: 0.358  loss_rpn_cls: 0.015  loss_rpn_loc: 0.011  time: 2.0107  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:03:06] d2.utils.events INFO:  eta: 7:37:25  iter: 1379  total_loss: 0.469  loss_cls: 0.141  loss_box_reg: 0.299  loss_rpn_cls: 0.009  loss_rpn_loc: 0.007  time: 2.0104  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:03:47] d2.utils.events INFO:  eta: 7:36:28  iter: 1399  total_loss: 0.516  loss_cls: 0.141  loss_box_reg: 0.320  loss_rpn_cls: 0.007  loss_rpn_loc: 0.006  time: 2.0106  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:04:26] d2.utils.events INFO:  eta: 7:35:55  iter: 1419  total_loss: 0.540  loss_cls: 0.154  loss_box_reg: 0.333  loss_rpn_cls: 0.013  loss_rpn_loc: 0.013  time: 2.0102  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:05:07] d2.utils.events INFO:  eta: 7:35:15  iter: 1439  total_loss: 0.514  loss_cls: 0.124  loss_box_reg: 0.342  loss_rpn_cls: 0.011  loss_rpn_loc: 0.009  time: 2.0101  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:05:46] d2.utils.events INFO:  eta: 7:34:23  iter: 1459  total_loss: 0.402  loss_cls: 0.103  loss_box_reg: 0.250  loss_rpn_cls: 0.013  loss_rpn_loc: 0.007  time: 2.0096  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:06:27] d2.utils.events INFO:  eta: 7:33:38  iter: 1479  total_loss: 0.398  loss_cls: 0.103  loss_box_reg: 0.279  loss_rpn_cls: 0.009  loss_rpn_loc: 0.009  time: 2.0099  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
